Wavelength	As-cast	Co-facial	End-on
778.48816	0.70304	0.29524	0.5624
778.06763	0.70208	0.29561	0.56121
777.5069	0.69992	0.29573	0.56173
776.94598	0.69885	0.29524	0.56034
776.52527	0.69565	0.29555	0.56658
775.96417	0.69551	0.29482	0.56273
775.54327	0.69459	0.29473	0.56617
774.98199	0.69072	0.29461	0.56472
774.56097	0.69228	0.29518	0.56775
773.99945	0.68917	0.29426	0.56764
773.43781	0.68588	0.29455	0.56614
773.01654	0.68652	0.29459	0.56783
772.45471	0.6827	0.29479	0.56652
772.03326	0.68438	0.29453	0.56979
771.47119	0.68282	0.2942	0.56798
771.04962	0.67995	0.2946	0.57144
770.48737	0.6821	0.29411	0.57054
770.06561	0.67891	0.29401	0.57626
769.50311	0.67703	0.29342	0.57712
768.94055	0.67553	0.29387	0.5745
768.51855	0.67226	0.29415	0.57323
767.95575	0.67192	0.29417	0.57831
767.53363	0.67189	0.29438	0.57664
766.97064	0.66936	0.29409	0.57794
766.54828	0.66901	0.29366	0.57966
765.98511	0.66726	0.29349	0.57873
765.56262	0.66579	0.29365	0.5796
764.99927	0.66357	0.29329	0.58391
764.43573	0.66334	0.29448	0.58052
764.013	0.66261	0.29427	0.58535
763.44928	0.66123	0.29413	0.58591
763.02643	0.65936	0.29417	0.58763
762.46246	0.65931	0.29406	0.58704
762.03943	0.65893	0.29375	0.58443
761.47534	0.65584	0.29456	0.58788
761.05212	0.6574	0.29419	0.5877
760.48779	0.65284	0.29483	0.59002
760.06445	0.65612	0.29349	0.58989
759.49994	0.65241	0.29414	0.59248
758.93524	0.65249	0.29507	0.59196
758.51166	0.6497	0.29481	0.59534
